"RelativePath","Encoding","Size"
".gitignore","UTF-8 (ASCII Only)","421"
"create_shortcuts.ps1","UTF-8","833"
"make_sc.js","UTF-8","1087"
"create_sc.ps1","UTF-8 BOM","614"
"write_japanese_nsh.js","UTF-8","3990"
"package.json","UTF-8 (ASCII Only)","752"
"メモ","UTF-8","17461"
"package-lock.json","UTF-8 (ASCII Only)","7253"
"exe_strings.txt","UTF-8 (ASCII Only)","84275"
"filtered_strings.txt","UTF-8 BOM","70071"
"funcs.txt","UTF-8 (ASCII Only)","3246"
"funcs2.txt","UTF-8 (ASCII Only)","11568"
"rust-toolchain.toml","UTF-8","220"
"merge.txt","UTF-8 (ASCII Only)","100638"
"codex_現課題01.md","UTF-8","40272"
"public\build_guidelines.md","UTF-8","3024"
"public\Alpheratz-icon.png","Binary/System","1043420"
"public\data_extraction_report.html","UTF-8","50414"
"public\troubleshooting.md","UTF-8","2092"
"public\めも.txt","UTF-8","3026"
"public\a165d6ec-3442-422f-8beb-ca9550ea5a6f.png","Binary/System","842464"
"public\DB構成メモ.md","UTF-8","1825"
"public\db変更メモ_現課題2.md","UTF-8","542"
"public\Alpheratzシステム仕様詳解.md","UTF-8","7754"
"public\Alpheratz内部設計書.md","UTF-8","7188"
"public\log-check\all_unique_patterns.txt","UTF-16 LE","799696"
"public\log-check\logRoad.txt","Large File (Skipped)","15844058"
"public\log-check\raw-log\output_log_2026-02-23_20-08-46.txt","UTF-8 (ASCII Only)","3597629"
"public\log-check\raw-log\output_log_2026-02-25_00-50-38.txt","UTF-8 (ASCII Only)","1946050"
"public\log-check\raw-log\output_log_2026-02-26_01-05-08.txt","UTF-8 (ASCII Only)","1611172"
"public\log-check\raw-log\output_log_2026-02-26_02-10-36.txt","UTF-8 (ASCII Only)","51179"
"public\log-check\raw-log\output_log_2026-02-27_00-48-54.txt","Large File (Skipped)","5673173"
"public\log-check\raw-log\output_log_2026-02-28_22-26-19.txt","UTF-8 (ASCII Only)","853888"
"public\log-check\raw-log\output_log_2026-03-01_00-13-14.txt","UTF-8 (ASCII Only)","192958"
"public\log-check\raw-log\output_log_2026-03-01_01-10-44.txt","UTF-8 (ASCII Only)","144832"
"public\log-check\raw-log\output_log_2026-03-01_01-27-22.txt","UTF-8 (ASCII Only)","798235"
"public\log-check\raw-log\output_log_2026-03-01_13-47-37.txt","UTF-8 (ASCII Only)","224026"
